pop.type,var.type,var.measure,var.measure.unit,var.measure.description
Prey,Area Use,Prey abundance (index),Index,The total number of animals across all independent photographs in a given time period divided by the total number of camera trap-days in that time period
Predator,Area Use,Predator occupancy (lions/km2),Density,Lion density estimates dervied by dividing pride territory size by number of lions per pride and summing density of overlapping prides across the landscape
Prey,Predation,Habitat-based predation risk (index),Index,Spatial model of kill risk based on distribution of landscape features that facilitate lion hunting success
Predator,Predation,Prey kill risk (index),Index,Metrics of hunting success extrapolated from distribution of lion kill sites
