site_id,datum,utm_espg,x,y,leaflet_espg,lon,lat
G13,Arc1960/UTM36S,21036,706272,9708820,4326,34.85608072,-2.635727405
H01,Arc1960/UTM36S,21036,708572,9736024,4326,34.87641001,-2.389710308
H02,Arc1960/UTM36S,21036,708420,9733771,4326,34.87507131,-2.410084475
H03,Arc1960/UTM36S,21036,708382,9731609,4326,34.87475653,-2.429634389
H04,Arc1960/UTM36S,21036,708540,9729326,4326,34.87620553,-2.450275943
H05,Arc1960/UTM36S,21036,708409,9727081,4326,34.87505617,-2.470577535
H06,Arc1960/UTM36S,21036,708629,9724638,4326,34.87706515,-2.492665005
H07,Arc1960/UTM36S,21036,708336,9722786,4326,34.87445473,-2.509415086
H08,Arc1960/UTM36S,21036,708658,9720643,4326,34.87737739,-2.528788493
H09,Arc1960/UTM36S,21036,708544,9718042,4326,34.87638639,-2.552308923
H10,Arc1960/UTM36S,21036,708438,9715769,4326,34.87546326,-2.572863401
H11,Arc1960/UTM36S,21036,708342,9713816,4326,34.87462599,-2.590524232
H12,Arc1960/UTM36S,21036,708077,9710659,4326,34.87228549,-2.619074252
H13,Arc1960/UTM36S,21036,708312,9708102,4326,34.87443294,-2.642192152
I02,Arc1960/UTM36S,21036,710666,9733817,4326,34.89526175,-2.409640454
I03,Arc1960/UTM36S,21036,710555,9731470,4326,34.89429333,-2.430863875
I04,Arc1960/UTM36S,21036,710653,9729274,4326,34.89520213,-2.450719271
I05,Arc1960/UTM36S,21036,710639,9727166,4326,34.89510316,-2.469780371
I06,Arc1960/UTM36S,21036,710826,9724838,4326,34.89681427,-2.490828135
I07,Arc1960/UTM36S,21036,710606,9722657,4326,34.89486469,-2.510551984
I08,Arc1960/UTM36S,21036,710558,9720584,4326,34.89446023,-2.529297046
I09,Arc1960/UTM36S,21036,710267,9718022,4326,34.89187769,-2.552466966
I10,Arc1960/UTM36S,21036,710006,9716196,4326,34.88955529,-2.568981484
I11,Arc1960/UTM36S,21036,709846,9713784,4326,34.8881489,-2.590793411
I12,Arc1960/UTM36S,21036,710837,9711269,4326,34.89709292,-2.613521051
I13,Arc1960/UTM36S,21036,710085,9708950,4326,34.89036307,-2.634500116
J02,Arc1960/UTM36S,21036,712788,9733722,4326,34.91433901,-2.410472652
J03,Arc1960/UTM36S,21036,712783,9731507,4326,34.91432215,-2.430500937
J04,Arc1960/UTM36S,21036,712954,9729237,4326,34.91588843,-2.451024259
J05,Arc1960/UTM36S,21036,713133,9727041,4326,34.91752597,-2.470878317
J06,Arc1960/UTM36S,21036,712898,9724611,4326,34.91544492,-2.492853614
J07,Arc1960/UTM36S,21036,712763,9722337,4326,34.91426106,-2.513417067
J08,Arc1960/UTM36S,21036,712652,9720223,4326,34.91329106,-2.532533488
J09,Arc1960/UTM36S,21036,713126,9718188,4326,34.91757966,-2.550927737
J10,Arc1960/UTM36S,21036,713149,9716295,4326,34.91781187,-2.568044024
J11,Arc1960/UTM36S,21036,712856,9713448,4326,34.91521611,-2.593790734
J12,Arc1960/UTM36S,21036,712314,9710911,4326,34.91037761,-2.616737892
J13,Arc1960/UTM36S,21036,712102,9708779,4326,34.90850074,-2.636018538
K03,Arc1960/UTM36S,21036,715120,9731552,4326,34.93533048,-2.430063963
K04,Arc1960/UTM36S,21036,715089,9729467,4326,34.93507873,-2.448916879
K05,Arc1960/UTM36S,21036,715102,9726821,4326,34.93523007,-2.47284176
K06,Arc1960/UTM36S,21036,715008,9724985,4326,34.93440913,-2.489444056
K07,Arc1960/UTM36S,21036,714926,9722507,4326,34.93370473,-2.511851149
K08,Arc1960/UTM36S,21036,715390,9720330,4326,34.93790528,-2.531529258
K09,Arc1960/UTM36S,21036,715396,9718218,4326,34.93798768,-2.55062576
K10,Arc1960/UTM36S,21036,714339,9716097,4326,34.92851341,-2.569818165
K11,Arc1960/UTM36S,21036,714652,9713600,4326,34.93136153,-2.592391699
K12,Arc1960/UTM36S,21036,715067,9711274,4326,34.93512475,-2.61341755
K13,Arc1960/UTM36S,21036,715209,9709080,4326,34.93643196,-2.633253587
L03,Arc1960/UTM36S,21036,717248,9731538,4326,34.9544605,-2.430162874
L04,Arc1960/UTM36S,21036,717238,9729348,4326,34.95439917,-2.449964698
L05,Arc1960/UTM36S,21036,717491,9727280,4326,34.95670078,-2.468659916
L06,Arc1960/UTM36S,21036,717269,9725021,4326,34.954735,-2.489088431
L07,Arc1960/UTM36S,21036,717472,9722874,4326,34.95658867,-2.508498561
L08,Arc1960/UTM36S,21036,716987,9720318,4326,34.9522629,-2.531616121
L09,Arc1960/UTM36S,21036,717279,9718022,4326,34.95491926,-2.552372238
L10,Arc1960/UTM36S,21036,717449,9716523,4326,34.95646816,-2.565923621
L11,Arc1960/UTM36S,21036,717168,9713790,4326,34.95397951,-2.59063888
L12,Arc1960/UTM36S,21036,717370,9711304,4326,34.95583023,-2.613114073
L13,Arc1960/UTM36S,21036,716909,9709067,4326,34.95171682,-2.633347183
M03,Arc1960/UTM36S,21036,719685,9731630,4326,34.97636663,-2.429299004
M04,Arc1960/UTM36S,21036,719629,9729236,4326,34.97589481,-2.450945698
M05,Arc1960/UTM36S,21036,719495,9726939,4326,34.97472075,-2.471716394
M06,Arc1960/UTM36S,21036,719551,9725160,4326,34.97524801,-2.487800915
M07,Arc1960/UTM36S,21036,719250,9722427,4326,34.97257895,-2.512516116
M08,Arc1960/UTM36S,21036,719171,9720411,4326,34.97189617,-2.530745385
M09,Arc1960/UTM36S,21036,719247,9718492,4326,34.97260572,-2.54809547
M10,Arc1960/UTM36S,21036,719449,9715983,4326,34.97445644,-2.570778406
M11,Arc1960/UTM36S,21036,719574,9713559,4326,34.97561407,-2.59269382
M12,Arc1960/UTM36S,21036,719551,9711367,4326,34.97543812,-2.612513617
M13,Arc1960/UTM36S,21036,719510,9709180,4326,34.9751005,-2.632288461
N03,Arc1960/UTM36S,21036,721745,9731503,4326,34.9948864,-2.430419951
N04,Arc1960/UTM36S,21036,721832,9729292,4326,34.99569793,-2.450409861
N05,Arc1960/UTM36S,21036,721792,9727122,4326,34.99536749,-2.470030762
N06,Arc1960/UTM36S,21036,721605,9724881,4326,34.99371676,-2.49029563
N07,Arc1960/UTM36S,21036,721787,9722566,4326,34.99538449,-2.511224529
N08,Arc1960/UTM36S,21036,721765,9719753,4326,34.99522547,-2.536658947
N09,Arc1960/UTM36S,21036,721346,9718454,4326,34.99147664,-2.548409882
N10,Arc1960/UTM36S,21036,721396,9715831,4326,34.99196275,-2.57212542
N11,Arc1960/UTM36S,21036,721619,9713660,4326,34.99399816,-2.591751657
N12,Arc1960/UTM36S,21036,721774,9711291,4326,34.99542534,-2.61316905
N13,Arc1960/UTM36S,21036,721830,9709149,4326,34.9959595,-2.632535385
O04,Arc1960/UTM36S,21036,723808,9729019,4326,35.01346465,-2.452851494
O05,Arc1960/UTM36S,21036,723875,9727147,4326,35.01409233,-2.469776341
O06,Arc1960/UTM36S,21036,723990,9724691,4326,35.01515971,-2.491980761
O07,Arc1960/UTM36S,21036,724558,9722646,4326,35.02029408,-2.510462763
O08,Arc1960/UTM36S,21036,725138,9720939,4326,35.02553192,-2.525888439
O09,Arc1960/UTM36S,21036,724035,9717724,4326,35.0156612,-2.554972407
O10,Arc1960/UTM36S,21036,724129,9715922,4326,35.01653175,-2.571263874
O11,Arc1960/UTM36S,21036,724194,9713588,4326,35.01714936,-2.592365813
O12,Arc1960/UTM36S,21036,724003,9711433,4326,35.01546314,-2.611853012
O13,Arc1960/UTM36S,21036,724068,9709168,4326,35.01608028,-2.632331074
P04,Arc1960/UTM36S,21036,726153,9729197,4326,35.03454214,-2.451210086
P05,Arc1960/UTM36S,21036,726196,9726921,4326,35.03495986,-2.471787768
P06,Arc1960/UTM36S,21036,726197,9724844,4326,35.03499755,-2.490566777
P07,Arc1960/UTM36S,21036,726264,9722453,4326,35.03563315,-2.512183855
P08,Arc1960/UTM36S,21036,726263,9720390,4326,35.03565313,-2.530836293
P09,Arc1960/UTM36S,21036,726291,9718075,4326,35.03593762,-2.551766744
P10,Arc1960/UTM36S,21036,726658,9715033,4326,35.03928045,-2.579265373
P11,Arc1960/UTM36S,21036,726081,9713561,4326,35.03411436,-2.592582664
P12,Arc1960/UTM36S,21036,726304,9711404,4326,35.03615044,-2.612081711
P13,Arc1960/UTM36S,21036,725753,9708722,4326,35.03123588,-2.636338846
Q05,Arc1960/UTM36S,21036,728571,9727010,4326,35.05630823,-2.470950047
Q06,Arc1960/UTM36S,21036,728320,9724607,4326,35.05408545,-2.49267982
Q07,Arc1960/UTM36S,21036,728510,9722377,4326,35.05582482,-2.512839231
Q08,Arc1960/UTM36S,21036,728424,9720189,4326,35.05508276,-2.532622812
Q09,Arc1960/UTM36S,21036,728435,9718338,4326,35.05520809,-2.549358089
Q10,Arc1960/UTM36S,21036,728531,9715888,4326,35.0561064,-2.571507854
Q11,Arc1960/UTM36S,21036,728513,9713551,4326,35.05597853,-2.592637595
Q12,Arc1960/UTM36S,21036,728368,9711360,4326,35.05470702,-2.612449182
Q13,Arc1960/UTM36S,21036,728540,9709168,4326,35.05628568,-2.632265116
R05,Arc1960/UTM36S,21036,730657,9726867,4326,35.07506168,-2.47221364
R06,Arc1960/UTM36S,21036,730704,9724797,4326,35.07551334,-2.490928231
R07,Arc1960/UTM36S,21036,730706,9722655,4326,35.07556174,-2.510294417
R08,Arc1960/UTM36S,21036,730737,9720435,4326,35.07587219,-2.530365388
R09,Arc1960/UTM36S,21036,730811,9718184,4326,35.0765699,-2.550715995
R10,Arc1960/UTM36S,21036,730621,9715990,4326,35.07489376,-2.570555108
R11,Arc1960/UTM36S,21036,730807,9713715,4326,35.07659922,-2.591121028
R12,Arc1960/UTM36S,21036,730748,9711480,4326,35.07610184,-2.611328905
R13,Arc1960/UTM36S,21036,730761,9709231,4326,35.07625221,-2.631662282
S07,Arc1960/UTM36S,21036,732920,9722555,4326,35.09546558,-2.511166629
S08,Arc1960/UTM36S,21036,733003,9720352,4326,35.09624354,-2.531082883
S09,Arc1960/UTM36S,21036,732912,9718028,4326,35.09545937,-2.552095639
S10,Arc1960/UTM36S,21036,733037,9715726,4326,35.0966169,-2.572906301
S11,Arc1960/UTM36S,21036,733253,9713559,4326,35.09859081,-2.592495022
S12,Arc1960/UTM36S,21036,732914,9711345,4326,35.09557629,-2.612516983
S13,Arc1960/UTM36S,21036,733052,9708920,4326,35.09685341,-2.634439429
T08,Arc1960/UTM36S,21036,735260,9720293,4326,35.1165334,-2.531583187
T09,Arc1960/UTM36S,21036,735237,9718111,4326,35.11635875,-2.551310857
T10,Arc1960/UTM36S,21036,735099,9715716,4326,35.11515372,-2.572965967
T11,Arc1960/UTM36S,21036,734120,9714240,4326,35.10637482,-2.586325103
T12,Arc1960/UTM36S,21036,735287,9711284,4326,35.11691033,-2.613032548
T13,Arc1960/UTM36S,21036,736086,9708440,4326,35.12413663,-2.638732633
U09,Arc1960/UTM36S,21036,737469,9718172,4326,35.13642215,-2.550726048
U10,Arc1960/UTM36S,21036,737509,9715800,4326,35.13681725,-2.572170264
U11,Arc1960/UTM36S,21036,737923,9713483,4326,35.14057393,-2.593111509
U12,Arc1960/UTM36S,21036,737517,9711364,4326,35.1369564,-2.61227518
U13,Arc1960/UTM36S,21036,737212,9709662,4326,35.13424056,-2.627667342
V10,Arc1960/UTM36S,21036,739688,9716166,4326,35.15639962,-2.568828262
